index,Enzyme:,Reaction:,T(K),pH ,"c(MgSO4,mol dm<sup>-3</sup>)",I<sub>c</sub>(mol dm<sup>-3</sup>),K' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
2056, citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq),311.15,6.36,2.77E-3,0.25,0.992E6,Guynn R.W.; Gelberg H.J.; Veech R.L.; J. Biol. Chem.; 248 6957 (1973).,73GUY/GEL_1128," 4.1.3.7                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, potassium phosphate (0.025 mol dm-3)
2057, citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq),311.15,6.39,2.77E-3,0.25,0.290E6,,,,,
2058, citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq),311.15,6.42,2.77E-3,0.25,0.418E6,,,,,
2059, citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq),311.15,6.52,2.77E-3,0.25,0.409E6,,,,,
2060, citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq),311.15,6.75,2.77E-3,0.25,0.697E6,,,,,
2061, citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq),311.15,6.79,2.77E-3,0.25,0.595E6,,,,,
2062, citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq),311.15,6.81,2.77E-3,0.25,1.31E6,,,,,
2063, citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq),311.15,6.82,2.77E-3,0.25,0.773E6,,,,,
2064, citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq),311.15,6.82,2.77E-3,0.25,1.34E6,,,,,
2065, citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq),311.15,6.91,2.77E-3,0.25,0.733E6,,,,,
2066, citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq),311.15,6.94,30.0E-3,0.25,6.75E6,,,,,
2067, citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq),311.15,7.00,20.0E-3,0.25,5.40E6,,,,,
2068, citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq),311.15,7.05,2.77E-3,0.25,1.14E6,,,,,
2069, citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq),311.15,7.06,10.0E-3,0.25,3.11E6,,,,,
2070, citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq),311.15,7.08,2.77E-3,0.25,1.53E6,,,,,
2071, citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq),311.15,7.09,1.00E-3,0.25,1.29E6,,,,,
2072, citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq),311.15,7.10,0.01E-3,0.25,1.03E6,,,,,
2073, citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq),311.15,7.10,0.10E-3,0.25,1.09E6,,,,,
2074, citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq),311.15,7.11,2.77E-3,0.25,2.26E6,,,,,
2075, citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq),311.15,7.20,2.77E-3,0.25,1.23E6,,,,,
2076, citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq),311.15,7.22,2.77E-3,0.25,1.80E6,,,,,
2077, citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq),311.15,7.28,2.77E-3,0.25,1.73E6,,,,,
2078, citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq),311.15,7.35,2.77E-3,0.25,2.42E6,,,,,
