index,Enzyme:,Reaction:,T(K),pH ,salt ,"c(salt,mol dm<sup>-3</sup>)",K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
39, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",273.15,7,MgCl2,0.006,0.00014,Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101," 4.1.2.13 & 5.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry,
40, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",273.15,7,MgCl2,0.12,0.000071,,,,,
41, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",273.15,7,none,--,0.00032,,,,,
42, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,MgCl2,0.0012,0.0014,,,,,
43, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,MgCl2,0.0025,0.0011,,,,,
44, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,MgCl2,0.006,0.00064,,,,,
45, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,MgCl2,0.012,0.00051,,,,,
46, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,MgCl2,0.031,0.00031,,,,,
47, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,MgCl2,0.06,0.00035,,,,,
48, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,MgCl2,0.06,0.00037,,,,,
49, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,MgCl2,0.12,0.00029,,,,,
50, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,MgCl2,0.12,0.00035,,,,,
51, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,MgCl2,0.24,0.00035,,,,,
52, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,Na2SO4,0.2,0.00055,,,,,
53, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,NaCl,0.043,0.0011,,,,,
54, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,NaCl,0.21,0.00075,,,,,
55, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,NaCl,0.90,0.00047,,,,,
56, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",293.15,7,none,--,0.0015,,,,,
57, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",313.15,7,MgCl2,0.0012,0.0056,,,,,
58, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",313.15,7,MgCl2,0.006,0.0025,,,,,
59, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",313.15,7,MgCl2,0.012,0.0020,,,,,
60, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",313.15,7,MgCl2,0.031,0.0014,,,,,
61, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",313.15,7,none,--,0.0064,,,,,
62, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",333.15,7,MgCl2,0.0012,0.015,,,,,
63, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",333.15,7,MgCl2,0.006,0.0082,,,,,
64, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",333.15,7,MgCl2,0.012,0.0056,,,,,
65, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",333.15,7,MgCl2,0.031,0.0046,,,,,
66, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",333.15,7,MgCl2,0.12,0.0012,,,,,
67, fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",333.15,7,none,--,0.019,,,,,
