index,Enzyme:,Reaction:,T(K),pH ,I<sub>c</sub>(mol dm<sup>-3</sup>),K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
1789, phosphogluconate dehydrogenase (decarboxylating), 6-phospho-D-gluconate(aq) + NADP(aq) + H2O(l) = D-ribulose 5-phosphate(aq) + NADPH(aq) + carbon dioxide(aq),298.15,6.45,0.036,0.074,Villet R.H.; Dalziel K.; Biochem. J.; 115 633 (1969).,69VIL/DAL_157," 1.1.1.44                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry and pressure measurements, KHCO3
1790, phosphogluconate dehydrogenase (decarboxylating), 6-phospho-D-gluconate(aq) + NADP(aq) + H2O(l) = D-ribulose 5-phosphate(aq) + NADPH(aq) + carbon dioxide(aq),298.15,6.80,0.084,0.083,,,,,
1791, phosphogluconate dehydrogenase (decarboxylating), 6-phospho-D-gluconate(aq) + NADP(aq) + H2O(l) = D-ribulose 5-phosphate(aq) + NADPH(aq) + carbon dioxide(aq),298.15,6.90,0.096,0.081,,,,,
1792, phosphogluconate dehydrogenase (decarboxylating), 6-phospho-D-gluconate(aq) + NADP(aq) + H2O(l) = D-ribulose 5-phosphate(aq) + NADPH(aq) + carbon dioxide(aq),298.15,6.95,0.120,0.080,,,,,
1793, phosphogluconate dehydrogenase (decarboxylating), 6-phospho-D-gluconate(aq) + NADP(aq) + H2O(l) = D-ribulose 5-phosphate(aq) + NADPH(aq) + carbon dioxide(aq),298.15,6.95,0.250,0.076,,,,,
1794, phosphogluconate dehydrogenase (decarboxylating), 6-phospho-D-gluconate(aq) + NADP(aq) + H2O(l) = D-ribulose 5-phosphate(aq) + NADPH(aq) + carbon dioxide(aq),298.15,6.95,0.350,0.075,,,,,
1795, phosphogluconate dehydrogenase (decarboxylating), 6-phospho-D-gluconate(aq) + NADP(aq) + H2O(l) = D-ribulose 5-phosphate(aq) + NADPH(aq) + carbon dioxide(aq),298.15,6.95,0.450,0.069,,,,,
1796, phosphogluconate dehydrogenase (decarboxylating), 6-phospho-D-gluconate(aq) + NADP(aq) + H2O(l) = D-ribulose 5-phosphate(aq) + NADPH(aq) + carbon dioxide(aq),298.15,7.30,0.048,0.079,,,,,
1797, phosphogluconate dehydrogenase (decarboxylating), 6-phospho-D-gluconate(aq) + NADP(aq) + H2O(l) = D-ribulose 5-phosphate(aq) + NADPH(aq) + carbon dioxide(aq),298.15,7.70,0.120,0.074,,,,,
